title,address,city,state,zip_code,price,beds,baths,area,region
Apartment For Sale,615 Myrtle Ave,Albany ,NY ,12208,190000,7,3,2304,albany
Apartment For Sale,364 Quail St,Albany ,NY ,12208,205000,5,2,2168,albany
Lot/Land For Sale,542 Warren St,Albany ,NY ,12208,29900,,,,albany
House For Sale,109 N Allen St,Albany ,NY ,12203,179500,4,2,1964,albany
House For Sale,798 Old South Pearl St,Albany ,NY ,12202,79900,3,1,1300,albany
House For Sale,796-798 Old South Pearl St,Albany ,NY ,12202,94900,3,1,1300,albany
House For Sale,62 Maplewood Ave,Albany ,NY ,12203,199900,4,2,2100,albany
House For Sale,138 Russell Rd,Albany ,NY ,12203,189900,4,2,1728,albany
House For Sale,147 3rd Ave,Albany ,NY ,12202,51200,2,1,855,albany
House For Sale,16 Birchwood Ct,Albany ,NY ,12211,336000,3,3,2386,albany
Lot/Land For Sale,645 2nd St,Albany ,NY ,12206,3500,,,,albany
Apartment For Sale,60 Benson St,Albany ,NY ,12206,189800,,,,albany
Apartment For Sale,64 Hollywood Ave,Albany ,NY ,12208,235000,4,2,2128,albany
Apartment For Sale,575 Myrtle Ave,Albany ,NY ,12208,179000,7,,2310,albany
House For Sale,36 Edenburg Ave,Albany ,NY ,12203,107500,3,1,936,albany
Pre-Foreclosure (Auction),Walter St,Albany ,NY ,12204,,4,,1628,albany
For Sale by Owner,141 Jay St,Albany ,NY ,12210,358000,6,6,,albany
Condo For Sale,1003 Greenwich Dr,Albany ,NY ,12203,124900,2,2,1050,albany
House For Sale,53 Oakwood St,Albany ,NY ,12208,189900,3,2,1384,albany
Foreclosure,44 Mercer St,Albany ,NY ,12203,150000,2,1,768,albany
House For Sale,37 Wood Ter,Albany ,NY ,12208,242900,3,2,1600,albany
House For Sale,489 Western Ave,Albany ,NY ,12203,255000,6,4,3600,albany
House For Sale,32 Hoffman Ave,Albany ,NY ,12209,75000,3,1,982,albany
House For Sale,8 Pines Ct,Albany ,NY ,12203,255900,3,2,1804,albany
House For Sale,45 W Erie St,Albany ,NY ,12208,219900,4,2,1725,albany
Apartment For Sale,62 Pinewood Ave,Albany ,NY ,12208,254900,4,2,2232,albany
House For Sale,174 Berkshire Blvd,Albany ,NY ,12203,164900,3,1,1126,albany
House For Sale,202 Benson St,Albany ,NY ,12206,159900,3,2,1212,albany
Foreclosed,295 Lark St,Albany ,NY ,12210,,,,,albany
House For Sale,1 Daisy Ln,Albany ,NY ,12211,264900,5,4,2732,albany
Apartment For Sale,146 Clinton St,Albany ,NY ,12202,115000,,,,albany
Apartment For Sale,131 Clinton St,Albany ,NY ,12202,75000,5,2,2048,albany
Pre-Foreclosure (Auction),Sligo St,Albany ,NY ,12209,,1,1,448,albany
Pre-Foreclosure (Auction),Catherine St,Albany ,NY ,12202,,4,,1438,albany
Pre-Foreclosure (Auction),Mereline Ave,Albany ,NY ,12209,,3,1,1158,albany
Pre-Foreclosure (Auction),2nd St,Albany ,NY ,12206,,4,2,1386,albany
Foreclosed,4 Judson St,Albany ,NY ,12206,,,,,albany
House For Sale,201 Shaker Park Dr,Albany ,NY ,12211,199900,3,1,1176,albany
Apartment For Sale,637 Myrtle Ave,Albany ,NY ,12208,185000,6,2,2296,albany
Apartment For Sale,23 S Main Ave,Albany ,NY ,12208,374900,5,,,albany
House For Sale,1175 New Scotland Rd,Albany ,NY ,12208,429900,3,4,2384,albany
House For Sale,115 Woodlawn Ave,Albany ,NY ,12208,259900,6,,2340,albany
House For Sale,3 Victor St,Albany ,NY ,12206,189900,3,2,1394,albany
Lot/Land For Sale,Woodside Dr,Albany ,NY ,12208,40000,,,,albany
Foreclosed,476 West St,Albany ,NY ,12206,,,,,albany
Pre-Foreclosure (Auction),Little Ln,Albany ,NY ,12202,,3,,1320,albany
Pre-Foreclosure (Auction),Tampa Ave,Albany ,NY ,12208,,2,1,1804,albany
Pre-Foreclosure (Auction),E Highland Dr,Albany ,NY ,12203,,3,2,1240,albany
Condo For Sale,17 Chapel St APT 701,Albany ,NY ,12210,825000,2,3,2165,albany
