title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,301 Melrose Ave,Syracuse ,NY ,13206,149900,4,3,2308,syracuse
House For Sale,1964 Caleb Ave,Syracuse ,NY ,13206,116000,4,2,1510,syracuse
House For Sale,603 Dakin St,Syracuse ,NY ,13224,67000,3,1,900,syracuse
House For Sale,147 Richfield Ave,Syracuse ,NY ,13205,95900,3,3,1320,syracuse
Apartment For Sale,243 Grumbach Ave,Syracuse ,NY ,13203,74900,5,3,2177,syracuse
House For Sale,358 Marlborough Rd # 58,Syracuse ,NY ,13206,82000,3,1,924,syracuse
Condo For Sale,429 N Franklin St APT 507,Syracuse ,NY ,13204,599000,3,3,2638,syracuse
House For Sale,108 Austin Ave,Syracuse ,NY ,13207,109900,3,2,1050,syracuse
Condo For Sale,429 N Franklin St APT 101,Syracuse ,NY ,13204,649900,4,4,3700,syracuse
Apartment For Sale,230 Cleveland Ave,Syracuse ,NY ,13208,21000,4,2,1273,syracuse
House For Sale,501 Crawford Ave,Syracuse ,NY ,13224,155900,3,2,1598,syracuse
House For Sale,105 Richard Rd,Syracuse ,NY ,13215,279900,4,3,2434,syracuse
House For Sale,320 Greenwood Pl,Syracuse ,NY ,13210,144900,5,2,1678,syracuse
For Sale by Owner,1173 Bellevue Ave,Syracuse ,NY ,13204,69900,9,3,3256,syracuse
Apartment For Sale,523 Wendell Ter # 25,Syracuse ,NY ,13203,149900,6,2,2967,syracuse
For Sale by Owner,156 Mary St,Syracuse ,NY ,13208,60000,5,2,2228,syracuse
House For Sale,209 Hillsboro Pkwy,Syracuse ,NY ,13214,96900,5,3,1796,syracuse
House For Sale,187 Parkside Ave,Syracuse ,NY ,13207,84900,3,1,1452,syracuse
House For Sale,244 Lorraine Ave,Syracuse ,NY ,13210,109900,3,2,1298,syracuse
Apartment For Sale,108 Armstrong Pl,Syracuse ,NY ,13207,159900,,,,syracuse
For Sale by Owner,111 Sunnyside Rd,Syracuse ,NY ,13224,159500,3,2,1680,syracuse
House For Sale,735 Stinard Ave,Syracuse ,NY ,13207,329900,4,5,3744,syracuse
House For Sale,402 Craig St,Syracuse ,NY ,13208,14500,3,1,1276,syracuse
For Sale by Owner,648 Helen St,Syracuse ,NY ,13203,115000,4,2,1698,syracuse
House For Sale,600 Vine St,Syracuse ,NY ,13203,55000,3,2,1482,syracuse
Foreclosure,419 Elm St,Syracuse ,NY ,13203,45000,2,1,1632,syracuse
Foreclosure,907 Bellevue Ave,Syracuse ,NY ,13204,45500,4,2,2356,syracuse
House For Sale,264 S Midler Ave,Syracuse ,NY ,13206,29900,3,1,1428,syracuse
House For Sale,401 Stafford Ave,Syracuse ,NY ,13206,109900,3,2,1224,syracuse
House For Sale,148 Parkside Ave,Syracuse ,NY ,13207,59900,3,1,1001,syracuse
Foreclosure,159 Anderson Ave,Syracuse ,NY ,13205,70000,4,2,1568,syracuse
House For Sale,400 Kimber Rd,Syracuse ,NY ,13224,249000,4,3,3033,syracuse
For Sale by Owner,414 Avery Ave,Syracuse ,NY ,13204,139900,3,2,1414,syracuse
Apartment For Sale,902 Willis Ave,Syracuse ,NY ,13204,79000,,,,syracuse
House For Sale,133 Hatch St,Syracuse ,NY ,13205,3500,4,2,1824,syracuse
Auction,401 S Edwards Ave,Syracuse ,NY ,13206,,3,,998,syracuse
Auction,123 Seward St,Syracuse ,NY ,13203,,4,2,1858,syracuse
Apartment For Sale,132 Eureka St,Syracuse ,NY ,13204,39900,,,,syracuse
House For Sale,1005 Caleb Ave,Syracuse ,NY ,13206,139000,3,2,1535,syracuse
House For Sale,108 Rugby Rd,Syracuse ,NY ,13206,205000,4,2,2268,syracuse
House For Sale,305 Ferndale Dr,Syracuse ,NY ,13205,95500,3,3,1696,syracuse
House For Sale,156 Hastings Pl,Syracuse ,NY ,13206,144900,3,2,1800,syracuse
Apartment For Sale,803 N Mcbride St,Syracuse ,NY ,13203,9900,6,2,3272,syracuse
Apartment For Sale,833 Sumner Ave # 35,Syracuse ,NY ,13210,209900,,,,syracuse
House For Sale,117 Summit Ave,Syracuse ,NY ,13207,189900,5,3,3656,syracuse
House For Sale,420 Stafford Ave,Syracuse ,NY ,13206,81900,4,1,1311,syracuse
House For Sale,184 Harwood Ave,Syracuse ,NY ,13224,125900,4,2,1932,syracuse
Auction,103 Edgemont Dr,Syracuse ,NY ,13214,,3,,1146,syracuse
House For Sale,1303 James St,Syracuse ,NY ,13203,229900,4,4,3331,syracuse
House For Sale,502 Boyden St,Syracuse ,NY ,13206,79900,3,2,1100,syracuse
House For Sale,106 Sedgwick Dr,Syracuse ,NY ,13203,339900,4,4,2336,syracuse
House For Sale,201 Gilbert Ave,Syracuse ,NY ,13208,65000,4,2,1760,syracuse
House For Sale,224 Armstrong Pl,Syracuse ,NY ,13207,82500,4,2,1306,syracuse
House For Sale,200 Ballantyne Rd,Syracuse ,NY ,13205,49500,3,2,1772,syracuse
Apartment For Sale,316 Highland Ave,Syracuse ,NY ,13203,360000,6,4,4322,syracuse
House For Sale,4362 South St,Dewitt ,NY ,13214,109900,4,1,1224,syracuse
House For Sale,106 Rugby Rd,Syracuse ,NY ,13206,157500,4,2,2049,syracuse
House For Sale,201 Mclennan Ave,Syracuse ,NY ,13205,20000,6,2,2870,syracuse
House For Sale,123 Peck Ave,Syracuse ,NY ,13206,93000,3,2,1648,syracuse
Townhouse For Sale,526 Plum St # 105,Syracuse ,NY ,13204,310000,2,3,1582,syracuse
Apartment For Sale,420 Greenwood Pl,Syracuse ,NY ,13210,129900,,,,syracuse
House For Sale,123 E Matson Ave,Syracuse ,NY ,13205,49900,4,1,1783,syracuse
For Sale by Owner,133 Walton St APT 102,Syracuse ,NY ,13202,265000,2,2,1240,syracuse
House For Sale,500 Mosley Dr,Syracuse ,NY ,13206,94900,2,1,768,syracuse
House For Sale,105 Hancock Dr,Syracuse ,NY ,13207,139900,3,2,1532,syracuse
Apartment For Sale,1103 Butternut St & Spring St,Syracuse ,NY ,13208,5000,6,2,1794,syracuse
House For Sale,124 Oakley Dr E,Syracuse ,NY ,13205,81900,4,2,1764,syracuse
Townhouse For Sale,108 W Jefferson St APT 601,Syracuse ,NY ,13202,194900,2,1,1703,syracuse
Auction,109 John St,Syracuse ,NY ,13208,,3,2,1761,syracuse
Townhouse For Sale,133 Walton St APT 130,Syracuse ,NY ,13202,205000,1,1,1150,syracuse
House For Sale,146 Erickson St,Syracuse ,NY ,13206,94900,3,1,1152,syracuse
Apartment For Sale,143-47 Kenmore Ave,Syracuse ,NY ,13205,3500,7,3,2256,syracuse
House For Sale,107 Enfield Pl,Syracuse ,NY ,13214,174900,3,3,2261,syracuse
Auction,100 Doll Pkwy,Syracuse ,NY ,13214,,3,,1858,syracuse
House For Sale,162 Berkshire Ave,Syracuse ,NY ,13208,99900,3,1,1507,syracuse
Townhouse For Sale,917 Madison St APT 14,Syracuse ,NY ,13210,164900,2,1,1455,syracuse
House For Sale,238 Rider Ave,Syracuse ,NY ,13207,114900,3,,1176,syracuse
House For Sale,211 Mariposa St,Syracuse ,NY ,13206,114900,3,2,1328,syracuse
House For Sale,412 Roberts Ave,Syracuse ,NY ,13207,119900,4,1,1639,syracuse
Apartment For Sale,2300 Burnet Ave,Syracuse ,NY ,13206,69900,4,,1504,syracuse
Auction,173 Hopper Rd,Syracuse ,NY ,13207,,4,,2088,syracuse
Townhouse For Sale,211 W Jefferson St APT 303,Syracuse ,NY ,13202,395000,2,4,1700,syracuse
For Sale by Owner,1303 Lancaster Ave,Syracuse ,NY ,13210,152900,3,1,1150,syracuse
House For Sale,123 Shirley Rd,Syracuse ,NY ,13224,239900,3,3,2526,syracuse
House For Sale,201 Salt Springs Rd,Syracuse ,NY ,13224,159000,5,3,2729,syracuse
House For Sale,252 Ashdale Ave,Syracuse ,NY ,13206,82500,3,1,912,syracuse
House For Sale,316 Hillsboro Pkwy,Syracuse ,NY ,13214,145000,3,2,1288,syracuse
Apartment For Sale,1026 Madison St # 28,Syracuse ,NY ,13210,1095000,12,5,3680,syracuse
Foreclosure,205 Griffiths St,Syracuse ,NY ,13208,37179,3,2,1314,syracuse
House For Sale,267 Mather St,Syracuse ,NY ,13203,168900,4,2,1727,syracuse
House For Sale,132 Milburn Dr,Syracuse ,NY ,13207,48000,4,2,1430,syracuse
Townhouse For Sale,133 Walton St APT 138,Syracuse ,NY ,13202,250000,2,2,1850,syracuse
House For Sale,707 Maryland Ave,Syracuse ,NY ,13210,140000,4,2,2628,syracuse
House For Sale,149 Lynn Cir,Syracuse ,NY ,13205,149900,3,3,2433,syracuse
House For Sale,227 Hier Ave,Syracuse ,NY ,13203,62500,3,1,1400,syracuse
Foreclosure,111 Robert Dr,Syracuse ,NY ,13210,79500,4,,2088,syracuse
House For Sale,148 Clairmonte Ave,Syracuse ,NY ,13207,124000,4,3,3396,syracuse
House For Sale,1304 Park St,Syracuse ,NY ,13208,99900,5,2,2056,syracuse
House For Sale,220 Edgemont Dr,Syracuse ,NY ,13214,179000,3,2,1638,syracuse
House For Sale,1210 Avery Ave,Syracuse ,NY ,13204,74900,3,1,1280,syracuse
House For Sale,203 Dorwin Ave,Syracuse ,NY ,13205,104900,3,2,1294,syracuse
House For Sale,116 Claire Rd,Syracuse ,NY ,13214,79900,2,1,885,syracuse
