title,address,city,state,zip_code,price,beds,baths,area,region
Apartment For Sale,110 Domedion Ave,Buffalo ,NY ,14211,69999,5,,1980,buffalo
Apartment For Sale,42 Kane St,Buffalo ,NY ,14204,59900,4,2,1920,buffalo
House For Sale,100 Custer St,Buffalo ,NY ,14214,124900,2,1,814,buffalo
House For Sale,117 Domedion Ave,Buffalo ,NY ,14211,69999,3,1,1063,buffalo
Apartment For Sale,18 Rees St # 30,Buffalo ,NY ,14213,399900,,,,buffalo
Apartment For Sale,87 Prospect Ave,Buffalo ,NY ,14201,369900,4,3,3010,buffalo
Apartment For Sale,306 Hartwell Rd,Buffalo ,NY ,14216,260000,6,2,2592,buffalo
Apartment For Sale,301 Pennsylvania St,Buffalo ,NY ,14201,100000,5,2,2108,buffalo
For Sale by Owner,168 W Woodside Ave,Buffalo ,NY ,14220,139000,4,2,1878,buffalo
Townhouse For Sale,132 Lakefront Blvd UNIT 106,Buffalo ,NY ,14202,415000,2,2,1583,buffalo
For Sale by Owner,104 Roanoke Pkwy,Buffalo ,NY ,14210,159000,6,2,2552,buffalo
Apartment For Sale,95 Lakeview Ave,Buffalo ,NY ,14201,79900,,,,buffalo
House For Sale,52 Spann St,Buffalo ,NY ,14206,85000,4,2,1323,buffalo
Apartment For Sale,36 Granger Pl,Buffalo ,NY ,14222,432500,5,3,2596,buffalo
For Sale by Owner,683 Tonawanda St,Buffalo ,NY ,14207,84900,5,1,1430,buffalo
House For Sale,173 Bloomfield Ave,Buffalo ,NY ,14220,199900,3,2,1595,buffalo
For Sale by Owner,54 Mariner St,Buffalo ,NY ,14201,459000,8,3,3674,buffalo
Apartment For Sale,712 Hopkins St,Buffalo ,NY ,14220,82500,,,,buffalo
Apartment For Sale,610 Hertel Ave,Buffalo ,NY ,14207,125000,,,,buffalo
Apartment For Sale,336 N Park Ave,Buffalo ,NY ,14216,250000,5,2,2560,buffalo
Apartment For Sale,48 Laurel St,Buffalo ,NY ,14209,189900,5,2,2760,buffalo
Foreclosure,87 Freund St,Buffalo ,NY ,14215,53000,4,2,1740,buffalo
House For Sale,92 Armbruster St,Buffalo ,NY ,14212,29900,3,1,1112,buffalo
House For Sale,104 Larchmont Rd,Buffalo ,NY ,14214,299000,5,2,2400,buffalo
Apartment For Sale,790 Mckinley Pkwy,Buffalo ,NY ,14220,209900,6,2,3004,buffalo
Lot/Land For Sale,539 E Ferry St,Buffalo ,NY ,14208,9900,,,,buffalo
Apartment For Sale,160 Benzinger St,Buffalo ,NY ,14206,199900,6,,2288,buffalo
Apartment For Sale,47 Reiman St,Buffalo ,NY ,14206,79900,5,2,1638,buffalo
House For Sale,203 Highgate Ave,Buffalo ,NY ,14215,149900,3,2,1784,buffalo
Apartment For Sale,237 Rounds Ave,Buffalo ,NY ,14215,89000,5,2,1778,buffalo
Apartment For Sale,23 Pembina St,Buffalo ,NY ,14220,67000,6,2,1800,buffalo
Apartment For Sale,23 Pembina St,Buffalo ,NY ,14220,67000,6,2,1800,buffalo
Apartment For Sale,144 Shoshone St,Buffalo ,NY ,14214,279900,6,2,2868,buffalo
Apartment For Sale,646 Elmwood Ave,Buffalo ,NY ,14222,375000,8,3,3178,buffalo
Apartment For Sale,112 Rodney Ave,Buffalo ,NY ,14214,75000,6,2,2250,buffalo
House For Sale,56 Hidden Creek Ct,Amherst ,NY ,14221,548300,2,3,2567,buffalo
Townhouse For Sale,83 Bryant St APT 1A,Buffalo ,NY ,14209,189900,2,1,850,buffalo
House For Sale,118 Verplanck St,Buffalo ,NY ,14208,44900,4,1,1220,buffalo
Pre-Foreclosure (Auction),Genesee St,Buffalo ,NY ,14211,,,,,buffalo
Pre-Foreclosure (Auction),Kelburn St,Buffalo ,NY ,14206,,4,,1122,buffalo
Pre-Foreclosure (Auction),Rounds Ave,Buffalo ,NY ,14215,,4,2,1932,buffalo
Pre-Foreclosure (Auction),Lockwood Ave,Buffalo ,NY ,14220,,3,1,1232,buffalo
Pre-Foreclosure (Auction),Norfolk Ave,Buffalo ,NY ,14215,,4,2,1878,buffalo
House For Sale,79 Cheltenham Dr,Buffalo ,NY ,14216,149900,3,1,1066,buffalo
Apartment For Sale,301 North Dr,Buffalo ,NY ,14216,239900,6,2,2716,buffalo
House For Sale,47 Ashton Pl,Buffalo ,NY ,14220,159900,3,2,1700,buffalo
House For Sale,29 Donaldson Rd,Buffalo ,NY ,14208,117900,2,2,1121,buffalo
For Sale by Owner,22 Delham Ave,Buffalo ,NY ,14216,325000,6,4,3239,buffalo
House For Sale,268 Breckenridge St,Buffalo ,NY ,14213,130000,,,,buffalo
House For Sale,98 Tillinghast Pl,Buffalo ,NY ,14216,319900,4,2,1568,buffalo
House For Sale,203 Chester St,Buffalo ,NY ,14208,114900,2,2,960,buffalo
House For Sale,435 Woodbridge Ave,Buffalo ,NY ,14214,629900,5,4,2560,buffalo
House For Sale,450 N Division St,Buffalo ,NY ,14204,132900,3,2,1687,buffalo
Make Me Move®,93 Crescent Ave,Buffalo ,NY ,14214,335000,6,2,3277,buffalo
Apartment For Sale,76 Lovering Ave,Buffalo ,NY ,14216,249900,6,2,2565,buffalo
Apartment For Sale,334 Herman St,Buffalo ,NY ,14211,105000,,,,buffalo
House For Sale,107 Durham Ave,Buffalo ,NY ,14215,74900,4,2,1664,buffalo
Townhouse For Sale,900 Delaware Ave APT 102,Buffalo ,NY ,14209,334900,2,2,1059,buffalo
Apartment For Sale,376 Norfolk Ave,Buffalo ,NY ,14215,59000,4,2,1536,buffalo
For Sale by Owner,216 Keystone St,Buffalo ,NY ,14211,65000,3,2,1380,buffalo
House For Sale,102 Lang Ave,Buffalo ,NY ,14215,47900,3,1,2002,buffalo
Pre-Foreclosure (Auction),Marilla St,Buffalo ,NY ,14220,,4,1,1936,buffalo
Lot/Land For Sale,93 Clarence Ave,Buffalo ,NY ,14215,8000,,,,buffalo
Lot/Land For Sale,99 Clarence Ave,Buffalo ,NY ,14215,8000,,,,buffalo
Lot/Land For Sale,117 Clarence Ave,Buffalo ,NY ,14215,8000,,,,buffalo
Apartment For Sale,44 Lester St,Buffalo ,NY ,14210,69900,5,2,2254,buffalo
Apartment For Sale,87 Greeley St,Buffalo ,NY ,14207,149900,6,,1915,buffalo
For Sale by Owner,112 Masten Ave,Buffalo ,NY ,14209,45000,4,1,1223,buffalo
House For Sale,350 Bristol St,Buffalo ,NY ,14206,55900,3,1,1065,buffalo
Apartment For Sale,47 Deshler St,Buffalo ,NY ,14212,39900,7,3,4236,buffalo
House For Sale,124 Harding Rd,Buffalo ,NY ,14220,134900,4,1,1349,buffalo
House For Sale,242 Southampton St,Buffalo ,NY ,14208,45000,4,1,1135,buffalo
Pre-Foreclosure,Glor St,Buffalo ,NY ,14207,,3,1,1388,buffalo
Apartment For Sale,77 Hughes Ave,Buffalo ,NY ,14208,229000,8,2,2612,buffalo
House For Sale,7 Voorhees Ave,Buffalo ,NY ,14214,389000,3,2,2402,buffalo
House For Sale,96 North Dr,Buffalo ,NY ,14216,429000,4,3,2605,buffalo
Condo For Sale,304 Admirals Walk,Buffalo ,NY ,14202,219900,1,1,740,buffalo
House For Sale,36 Culver Rd,Buffalo ,NY ,14220,115900,3,1,1145,buffalo
House For Sale,166 Ludington St,Buffalo ,NY ,14206,85000,3,1,1524,buffalo
Condo For Sale,304 Admirals Walk # 304,Buffalo ,NY ,14202,219900,1,1,740,buffalo
House For Sale,22 Garfield St,Buffalo ,NY ,14207,154900,5,2,1409,buffalo
House For Sale,165 Breckenridge St,Buffalo ,NY ,14213,119500,4,2,1876,buffalo
House For Sale,105 Donaldson Rd,Buffalo ,NY ,14208,225000,4,2,2062,buffalo
Pre-Foreclosure,Richfield Ave,Buffalo ,NY ,14220,,6,2,3004,buffalo
House For Sale,436 Baynes St,Buffalo ,NY ,14213,259900,3,2,1732,buffalo
House For Sale,247 Hazelwood Ave,Buffalo ,NY ,14215,89900,3,1,1620,buffalo
Apartment For Sale,496 Niagara St,Buffalo ,NY ,14201,395000,,,,buffalo
House For Sale,102 Massachusetts Ave,Buffalo ,NY ,14213,349000,,,,buffalo
House For Sale,490 Niagara St,Buffalo ,NY ,14201,299000,,,,buffalo
Apartment For Sale,47 Weber Ave # 51,Buffalo ,NY ,14215,84900,6,2,2300,buffalo
House For Sale,1562 S Park Ave,Buffalo ,NY ,14220,79900,2,2,1769,buffalo
Apartment For Sale,136 N Pearl St,Buffalo ,NY ,14202,499900,,,,buffalo
House For Sale,78 Saint Marys Rd,Buffalo ,NY ,14211,75000,2,2,864,buffalo
House For Sale,297 Taunton Pl,Buffalo ,NY ,14216,159900,3,2,1275,buffalo
House For Sale,239 Herkimer St,Buffalo ,NY ,14213,129900,3,2,1348,buffalo
Lot/Land For Sale,V/l 44 Cottage St,Buffalo ,NY ,14201,225577,,,,buffalo
Apartment For Sale,188 Sprenger Ave,Buffalo ,NY ,14211,59900,5,2,2054,buffalo
Pre-Foreclosure,Eden St,Buffalo ,NY ,14220,,4,2,1083,buffalo
Auction,130 Kelburn St,Buffalo ,NY ,14206,,4,,1326,buffalo
Lot/Land For Sale,V/l 42 Cottage St,Buffalo ,NY ,14201,225577,,,,buffalo
Condo For Sale,356 Lakefront Blvd,Buffalo ,NY ,14202,499900,2,3,1532,buffalo
Pre-Foreclosure,Hewitt Ave,Buffalo ,NY ,14215,,3,1,1473,buffalo
Pre-Foreclosure,Manhattan Ave,Buffalo ,NY ,14215,,4,1,1712,buffalo
House For Sale,219 Stockbridge Ave,Buffalo ,NY ,14215,74900,3,1,1600,buffalo
Foreclosure,81 Pennsylvania St,Buffalo ,NY ,14201,45000,3,1,1012,buffalo
House For Sale,21 Fisher St,Buffalo ,NY ,14211,59921,3,1,1331,buffalo
House For Sale,387 Gold St,Buffalo ,NY ,14206,140000,4,2,1753,buffalo
House For Sale,391 Marilla St,Buffalo ,NY ,14220,70000,4,1,1770,buffalo
House For Sale,203 Morris Ave,Buffalo ,NY ,14214,499900,3,5,2941,buffalo
For Sale by Owner,831 E Ferry St,Buffalo ,NY ,14211,154000,4,2,1400,buffalo
House For Sale,20 Jones St,Buffalo ,NY ,14206,39900,4,1,1528,buffalo
House For Sale,282 East St,Buffalo ,NY ,14207,79900,3,2,1458,buffalo
Pre-Foreclosure,Seneca St,Buffalo ,NY ,14204,,3,1,1028,buffalo
Pre-Foreclosure,Fordham Dr,Buffalo ,NY ,14216,,4,2,2379,buffalo
Pre-Foreclosure,Dartmouth Ave,Buffalo ,NY ,14215,,3,,1611,buffalo
Pre-Foreclosure,Atlantic Ave,Buffalo ,NY ,14222,,4,2,2592,buffalo
Pre-Foreclosure,Grace St,Buffalo ,NY ,14207,,5,1,1088,buffalo
House For Sale,964 West Ave,Buffalo ,NY ,14213,104900,4,2,1188,buffalo
House For Sale,72 Taunton Pl,Buffalo ,NY ,14216,169900,3,1,1412,buffalo
House For Sale,44 Barton St,Buffalo ,NY ,14213,65000,5,2,1192,buffalo
House For Sale,481 W Utica St,Buffalo ,NY ,14213,399888,3,4,2056,buffalo
For Sale by Owner,148 Fordham Dr,Buffalo ,NY ,14216,399000,4,3,2200,buffalo
House For Sale,262 Grape St,Buffalo ,NY ,14204,115000,3,2,1160,buffalo
House For Sale,45 Spiess St,Buffalo ,NY ,14211,39900,4,1,1302,buffalo
Apartment For Sale,39 Barry Pl,Buffalo ,NY ,14213,264500,10,3,3108,buffalo
Apartment For Sale,521 Cambridge Ave,Buffalo ,NY ,14215,80000,,,,buffalo
Apartment For Sale,110 Virgil Ave,Buffalo ,NY ,14216,224900,6,2,2741,buffalo
Pre-Foreclosure (Auction),Kane St,Buffalo ,NY ,14204,,3,1,1048,buffalo
Pre-Foreclosure (Auction),Admiral Rd,Buffalo ,NY ,14216,,4,1,2300,buffalo
Pre-Foreclosure (Auction),Weimar St,Buffalo ,NY ,14206,,2,1,1290,buffalo
Pre-Foreclosure (Auction),Avondale Pl,Buffalo ,NY ,14210,,3,1,1490,buffalo
Pre-Foreclosure (Auction),Norman Ave,Buffalo ,NY ,14210,,3,1,1592,buffalo
Pre-Foreclosure (Auction),Brinton St,Buffalo ,NY ,14216,,4,1,1326,buffalo
Pre-Foreclosure (Auction),Poultney Ave,Buffalo ,NY ,14215,,3,1,1489,buffalo
Pre-Foreclosure (Auction),Admiral Rd,Buffalo ,NY ,14216,,4,1,2300,buffalo
Pre-Foreclosure (Auction),Bailey Ave,Buffalo ,NY ,14215,,,,,buffalo
For Sale by Owner,284 Locust St,Buffalo ,NY ,14204,9599,,,,buffalo
For Sale by Owner,265 Lakefront Blvd,Buffalo ,NY ,14202,649000,2,3,1700,buffalo
House For Sale,219 Lakefront Blvd,Buffalo ,NY ,14202,450000,2,3,1700,buffalo
Apartment For Sale,132 Lakeview Ave,Buffalo ,NY ,14201,8500000,5,,70987,buffalo
House For Sale,455 Richmond Ave,Buffalo ,NY ,14222,318000,3,2,2414,buffalo
House For Sale,29 Forman St,Buffalo ,NY ,14211,79900,4,2,1443,buffalo
Apartment For Sale,222 Gold St,Buffalo ,NY ,14206,54900,3,2,1421,buffalo
Apartment For Sale,418 Dearborn St,Buffalo ,NY ,14207,69900,5,,2208,buffalo
Apartment For Sale,187 Jersey St,Buffalo ,NY ,14201,199900,,,,buffalo
Apartment For Sale,250 Humboldt Pkwy,Buffalo ,NY ,14214,149900,,,,buffalo
House For Sale,208 Thompson St,Buffalo ,NY ,14207,35000,2,1,1160,buffalo
For Sale by Owner,118 Jersey St,Buffalo ,NY ,14201,700000,3,1,1976,buffalo
Apartment For Sale,48 Traymore St,Buffalo ,NY ,14216,249900,6,2,2668,buffalo
Lot/Land For Sale,522 Dorrance Ave,Buffalo ,NY ,14218,39900,,,,buffalo
Pre-Foreclosure,Beverly Rd,Buffalo ,NY ,14208,,6,2,2585,buffalo
Pre-Foreclosure,Eureka Pl,Buffalo ,NY ,14204,,3,,1308,buffalo
Townhouse For Sale,132 Lakefront Blvd UNIT 501,Buffalo ,NY ,14202,659000,2,2,1844,buffalo
House For Sale,230 Potomac Ave,Buffalo ,NY ,14213,209900,4,2,1992,buffalo
House For Sale,93 Thatcher Ave,Buffalo ,NY ,14215,74000,3,2,1524,buffalo
For Sale by Owner,288 Massachusetts Ave,Buffalo ,NY ,14213,50000,4,2,1750,buffalo
Pre-Foreclosure (Auction),Weiss St,Buffalo ,NY ,14206,,4,2,1739,buffalo
Pre-Foreclosure (Auction),Wakefield Ave,Buffalo ,NY ,14214,,6,2,2068,buffalo
Pre-Foreclosure (Auction),Voorhees Ave,Buffalo ,NY ,14216,,3,,2222,buffalo
Pre-Foreclosure,17th St,Buffalo ,NY ,14213,,4,2,1602,buffalo
Pre-Foreclosure (Auction),Holmes St,Buffalo ,NY ,14207,,6,2,2304,buffalo
Pre-Foreclosure (Auction),Huntington Ave,Buffalo ,NY ,14214,,4,1,2194,buffalo
Pre-Foreclosure (Auction),Parker Ave,Buffalo ,NY ,14214,,4,,2201,buffalo
Pre-Foreclosure (Auction),Harlow Pl,Buffalo ,NY ,14208,,2,,1040,buffalo
Pre-Foreclosure (Auction),Best St,Buffalo ,NY ,14204,,6,2,2779,buffalo
