title,address,city,state,zip_code,price,beds,baths,area,region
Apartment For Sale,5 High St,Binghamton ,NY ,13903,84900,,,,binghamton
Apartment For Sale,32 Walnut St # 34,Binghamton ,NY ,13905,335000,,,,binghamton
Apartment For Sale,16 Jerome Ave,Binghamton ,NY ,13905,89900,3,1,1753,binghamton
Apartment For Sale,192 Conklin Ave,Binghamton ,NY ,13903,31000,3,1,2253,binghamton
Pre-Foreclosure (Auction),Mulberry St,Binghamton ,NY ,13901,,3,1,2268,binghamton
House For Sale,12 Cypress St,Binghamton ,NY ,13905,94000,6,2,2078,binghamton
House For Sale,36 Cypress St,Binghamton ,NY ,13905,89000,5,2,2500,binghamton
House For Sale,20 Lincoln Ave,Binghamton ,NY ,13905,128000,4,3,1321,binghamton
Apartment For Sale,90 Gaylord St,Binghamton ,NY ,13904,69900,4,2,1630,binghamton
House For Sale,21 Division St,Binghamton ,NY ,13905,119642,4,2,1912,binghamton
House For Sale,94 La Grange St,Binghamton ,NY ,13905,229900,3,3,2997,binghamton
House For Sale,184 Leroy St,Binghamton ,NY ,13905,189900,2,2,1816,binghamton
Apartment For Sale,34 Doubleday St,Binghamton ,NY ,13901,65000,2,1,2714,binghamton
House For Sale,310 Riverside Dr,Binghamton ,NY ,13905,149900,3,2,1482,binghamton
Apartment For Sale,20 Doubleday St,Binghamton ,NY ,13901,115000,1,1,4788,binghamton
House For Sale,211 Pennsylvania Ave,Binghamton ,NY ,13903,195000,3,4,2084,binghamton
House For Sale,18 Lincoln Ave,Binghamton ,NY ,13905,179900,4,2,2790,binghamton
House For Sale,6 Espial Dr,Binghamton ,NY ,13903,149900,3,2,1778,binghamton
Apartment For Sale,110 Walnut St,Binghamton ,NY ,13905,79900,,,,binghamton
Apartment For Sale,40 Walnut St # 42,Binghamton ,NY ,13905,84500,,,,binghamton
Apartment For Sale,97 Chestnut St,Binghamton ,NY ,13905,299000,12,3,5586,binghamton
House For Sale,132 Leroy St,Binghamton ,NY ,13905,121900,3,2,2510,binghamton
Apartment For Sale,1210 Vestal Ave,Binghamton ,NY ,13903,86400,,,,binghamton
Apartment For Sale,48 North St,Binghamton ,NY ,13905,73000,,,,binghamton
House For Sale,15 Margaret St,Binghamton ,NY ,13905,109000,3,2,1811,binghamton
For Sale by Owner,29 Seminary Ave,Binghamton ,NY ,13905,174900,6,2,2000,binghamton
Foreclosed,3 Deforest St,Binghamton ,NY ,13901,,,,,binghamton
House For Sale,67 Morgan Rd,Binghamton ,NY ,13903,69700,2,2,1050,binghamton
House For Sale,325 Riverside Dr,Binghamton ,NY ,13905,129900,4,2,2281,binghamton
Pre-Foreclosure (Auction),Blanchard Ave,Binghamton ,NY ,13901,,4,2,1266,binghamton
House For Sale,24 Dellwood Rd,Binghamton ,NY ,13903,295000,4,4,3614,binghamton
Apartment For Sale,153 Crary Ave,Binghamton ,NY ,13905,179000,,,,binghamton
House For Sale,30 Stuyvesant St,Binghamton ,NY ,13901,135000,11,5,4852,binghamton
Pre-Foreclosure (Auction),Park Ave,Binghamton ,NY ,13903,,3,1,2162,binghamton
House For Sale,38 Saratoga Ave,Binghamton ,NY ,13903,95000,3,2,1450,binghamton
Apartment For Sale,28 Grace St,Binghamton ,NY ,13905,60000,,,,binghamton
House For Sale,7 Mcnamara Ave,Binghamton ,NY ,13903,119900,3,2,1440,binghamton
